Date,Open,High,Low,Close,Change(Pips),Change(%)
10/18/2024 0:00,2693.49,2722.41,2692.9,2720.53,2704,0.99
10/17/2024 0:00,2674.12,2696.52,2673.39,2693.55,1943,0.72
10/16/2024 0:00,2659.97,2685.07,2658.78,2673.9,1393,0.52
10/15/2024 0:00,2649.3,2668.93,2638.23,2660.42,1112,0.42
10/14/2024 0:00,2645.21,2666.34,2643.32,2649.51,430,0.16
10/13/2024 0:00,2650.29,2650.75,2647.63,2648.11,-218,-0.08
10/11/2024 0:00,2633.98,2661.29,2631.7,2656.85,2287,0.86
10/10/2024 0:00,2608.5,2635.78,2601.78,2633.23,2473,0.94
10/9/2024 0:00,2623.03,2624.18,2605.2,2608.44,-1459,-0.56
10/8/2024 0:00,2642.7,2652.61,2605.72,2622.03,-2067,-0.79
10/7/2024 0:00,2649.29,2659.39,2638.26,2643.15,-614,-0.23
10/6/2024 0:00,2652.75,2652.75,2649,2650.45,-230,-0.09
10/4/2024 0:00,2655.62,2669.31,2632.11,2653.05,-257,-0.1
10/3/2024 0:00,2660.29,2662.71,2638.97,2655.87,-442,-0.17
10/2/2024 0:00,2660.44,2663.02,2641.05,2660.28,-16,-0.01
10/1/2024 0:00,2635.65,2673.1,2633.87,2660.44,2479,0.93
9/30/2024 0:00,2663.57,2665.9,2624.64,2635.66,-2791,-1.06
9/29/2024 0:00,2657.95,2665.07,2657.95,2663.54,559,0.21
9/27/2024 0:00,2672.43,2673.82,2643.37,2657.97,-1446,-0.54
9/26/2024 0:00,2656.78,2685.13,2655.31,2672.32,1554,0.58
9/25/2024 0:00,2657.7,2669.7,2650.55,2656.78,-92,-0.03
9/24/2024 0:00,2626.32,2664.39,2622.43,2658.14,3182,1.2
9/23/2024 0:00,2620.18,2634.79,2613.64,2626.32,614,0.23
9/22/2024 0:00,2619.51,2621.97,2618.29,2620.28,77,0.03
9/20/2024 0:00,2587.22,2625.55,2584.92,2621.74,3452,1.32
9/19/2024 0:00,2559,2594.4,2551.46,2587.22,2822,1.09
9/18/2024 0:00,2574.07,2599.8,2547.63,2558.37,-1570,-0.61
9/17/2024 0:00,2583.61,2586.13,2560.7,2573.98,-963,-0.37
9/16/2024 0:00,2579.19,2589.68,2575.22,2583.71,452,0.17
9/15/2024 0:00,2578.72,2580.64,2577.61,2579.23,51,0.02
9/13/2024 0:00,2558.63,2585.68,2556.84,2577.38,1875,0.73
9/12/2024 0:00,2511.62,2559.9,2510.94,2557.96,4634,1.81
9/11/2024 0:00,2518.57,2528.03,2501.67,2511.98,-659,-0.26
9/10/2024 0:00,2506.77,2518.66,2499.91,2518.66,1189,0.47
9/9/2024 0:00,2496.45,2507.51,2485.81,2506.51,1006,0.4
9/8/2024 0:00,2496.56,2498.33,2495.52,2496.84,28,0.01
9/6/2024 0:00,2517.18,2529.01,2485.1,2496.75,-2043,-0.82
9/5/2024 0:00,2495.76,2522.77,2492.9,2517.32,2156,0.86
9/4/2024 0:00,2493.04,2499.84,2471.95,2495.69,265,0.11
9/3/2024 0:00,2497.18,2505.97,2474.1,2492.64,-454,-0.18
9/2/2024 0:00,2502.91,2507.32,2489.89,2497.25,-566,-0.23
8/30/2024 0:00,2519.17,2526.7,2494.79,2502.98,-1619,-0.65
8/29/2024 0:00,2507.95,2528.48,2503.94,2519.37,1142,0.45
8/28/2024 0:00,2525.36,2525.59,2494.04,2507.84,-1752,-0.7
8/27/2024 0:00,2515.45,2528.82,2504.01,2525.07,962,0.38
8/26/2024 0:00,2515.46,2526.54,2508.6,2515.58,12,0
8/23/2024 0:00,2486.85,2518.1,2486.39,2512.01,2516,1
8/22/2024 0:00,2512.83,2514.25,2471.13,2487.04,-2579,-1.04
8/21/2024 0:00,2512.75,2519.76,2495.05,2512.43,-32,-0.01
8/20/2024 0:00,2503.96,2531.51,2497.44,2513.16,920,0.37
8/19/2024 0:00,2505.98,2507.24,2485.8,2503.64,-234,-0.09
8/16/2024 0:00,2457.33,2509.5,2450.4,2506.76,4943,1.97
8/15/2024 0:00,2449.64,2469.7,2432.93,2457.43,779,0.32
8/14/2024 0:00,2464.07,2478.2,2435.61,2449.26,-1481,-0.6
8/13/2024 0:00,2476.15,2476.72,2458.4,2463.87,-1228,-0.5
8/12/2024 0:00,2427.85,2475.84,2423.79,2475.32,4747,1.92
8/9/2024 0:00,2424.45,2436.87,2416.95,2430.71,626,0.26
